description,industry,level,size,line_code,value
When does business typically review price: in response to specific events only,Construction,1,total,C0800.02,864
When does business typically review price: in response to specific events only,Wholesale trade,1,total,C0800.02,444
When does business typically review price: in response to specific events only,Machinery & equipment wholesaling,2,total,C0800.02,105
When does business typically review price: in response to specific events only,Other wholesale trade,2,total,C0800.02,336
When does business typically review price: in response to specific events only,Retail trade,1,total,C0800.02,489
When does business typically review price: in response to specific events only,Accommodation & food services,1,total,C0800.02,603
When does business typically review price: in response to specific events only,"Transport, postal, & warehousing",1,total,C0800.02,156
When does business typically review price: in response to specific events only,Information media & telecommunications,1,total,C0800.02,75
When does business typically review price: in response to specific events only,Publishing,2,total,C0800.02,36
When does business typically review price: in response to specific events only,Motion picture,2,total,C0800.02,21
When does business typically review price: in response to specific events only,Telecommunications,2,total,C0800.02,15
When does business typically review price: in response to specific events only,Financial & insurance services,1,total,C0800.02,60
When does business typically review price: in response to specific events only,Finance,2,total,C0800.02,24
When does business typically review price: in response to specific events only,Insurance,2,total,C0800.02,3
When does business typically review price: in response to specific events only,Auxiliary,2,total,C0800.02,36
When does business typically review price: in response to specific events only,"Rental, hiring, & real estate services",1,total,C0800.02,120
When does business typically review price: in response to specific events only,"Professional, scientific, & technical services",1,total,C0800.02,426
When does business typically review price: in response to specific events only,Computer systems design,2,total,C0800.02,138
When does business typically review price: in response to specific events only,Other professional scientific,2,total,C0800.02,291
When does business typically review price: in response to specific events only,Administrative & support services,1,total,C0800.02,225
When does business typically review price: in response to specific events only,Education & training,1,total,C0800.02,96
When does business typically review price: in response to specific events only,Health care & social assistance,1,total,C0800.02,135
When does business typically review price: in response to specific events only,Arts & recreation services,1,total,C0800.02,54
When does business typically review price: in response to specific events only,Other services,1,total,C0800.02,138
When does business typically review price: in response to specific events only,total,0,total,C0800.02,4890
When does business typically review price: regular intervals and in response to specific events,total,0,6�19 employees,C0800.03,17250
When does business typically review price: regular intervals and in response to specific events,total,0,20�49 employees,C0800.03,3906
When does business typically review price: regular intervals and in response to specific events,total,0,50�99 employees,C0800.03,1101
When does business typically review price: regular intervals and in response to specific events,total,0,100+ employees,C0800.03,816
When does business typically review price: regular intervals and in response to specific events,"Agriculture, forestry, & fishing",1,total,C0800.03,1083
When does business typically review price: regular intervals and in response to specific events,Agriculture,2,total,C0800.03,492
When does business typically review price: regular intervals and in response to specific events,Commercial fishing,2,total,C0800.03,18
When does business typically review price: regular intervals and in response to specific events,Forestry & logging,2,total,C0800.03,69
When does business typically review price: regular intervals and in response to specific events,"Agriculture, forestry, & fishing support services",2,total,C0800.03,507
When does business typically review price: regular intervals and in response to specific events,Mining,1,total,C0800.03,57
When does business typically review price: regular intervals and in response to specific events,Manufacturing,1,total,C0800.03,3411
When does business typically review price: regular intervals and in response to specific events,"Food, beverage, & tobacco",2,total,C0800.03,759
When does business typically review price: regular intervals and in response to specific events,"Textile, clothing, footwear, & leather",2,total,C0800.03,177
When does business typically review price: regular intervals and in response to specific events,Wood & paper product,2,total,C0800.03,336
When does business typically review price: regular intervals and in response to specific events,"Printing, publishing, & recorded media",2,total,C0800.03,114
When does business typically review price: regular intervals and in response to specific events,"Petroleum, coal, chemical, & associated product",2,total,C0800.03,288
When does business typically review price: regular intervals and in response to specific events,Non-metallic mineral product,2,total,C0800.03,123
When does business typically review price: regular intervals and in response to specific events,Metal product,2,total,C0800.03,654
When does business typically review price: regular intervals and in response to specific events,Transport and industrial machinery & equipment,2,total,C0800.03,603
When does business typically review price: regular intervals and in response to specific events,Other machinery & equipment,2,total,C0800.03,129
When does business typically review price: regular intervals and in response to specific events,Other manufacturing,2,total,C0800.03,228
When does business typically review price: regular intervals and in response to specific events,"Electricity, gas, water, & waste services",1,total,C0800.03,102
When does business typically review price: regular intervals and in response to specific events,Construction,1,total,C0800.03,3843
When does business typically review price: regular intervals and in response to specific events,Wholesale trade,1,total,C0800.03,1722
When does business typically review price: regular intervals and in response to specific events,Machinery & equipment wholesaling,2,total,C0800.03,534
When does business typically review price: regular intervals and in response to specific events,Other wholesale trade,2,total,C0800.03,1188
When does business typically review price: regular intervals and in response to specific events,Retail trade,1,total,C0800.03,1830
When does business typically review price: regular intervals and in response to specific events,Accommodation & food services,1,total,C0800.03,3783
When does business typically review price: regular intervals and in response to specific events,"Transport, postal, & warehousing",1,total,C0800.03,732
When does business typically review price: regular intervals and in response to specific events,Information media & telecommunications,1,total,C0800.03,168
When does business typically review price: regular intervals and in response to specific events,Publishing,2,total,C0800.03,54
When does business typically review price: regular intervals and in response to specific events,Motion picture,2,total,C0800.03,63
When does business typically review price: regular intervals and in response to specific events,Telecommunications,2,total,C0800.03,48
When does business typically review price: regular intervals and in response to specific events,Financial & insurance services,1,total,C0800.03,198
When does business typically review price: regular intervals and in response to specific events,Finance,2,total,C0800.03,81
When does business typically review price: regular intervals and in response to specific events,Insurance,2,total,C0800.03,24
When does business typically review price: regular intervals and in response to specific events,Auxiliary,2,total,C0800.03,96
When does business typically review price: regular intervals and in response to specific events,"Rental, hiring, & real estate services",1,total,C0800.03,438
When does business typically review price: regular intervals and in response to specific events,"Professional, scientific, & technical services",1,total,C0800.03,2604
When does business typically review price: regular intervals and in response to specific events,Computer systems design,2,total,C0800.03,423
When does business typically review price: regular intervals and in response to specific events,Other professional scientific,2,total,C0800.03,2181
When does business typically review price: regular intervals and in response to specific events,Administrative & support services,1,total,C0800.03,774
When does business typically review price: regular intervals and in response to specific events,Education & training,1,total,C0800.03,495
When does business typically review price: regular intervals and in response to specific events,Health care & social assistance,1,total,C0800.03,900
When does business typically review price: regular intervals and in response to specific events,Arts & recreation services,1,total,C0800.03,216
When does business typically review price: regular intervals and in response to specific events,Other services,1,total,C0800.03,714
When does business typically review price: regular intervals and in response to specific events,total,0,total,C0800.03,23076
Frequency of price review: daily,total,0,6�19 employees,C0900.01,1104
Frequency of price review: daily,total,0,20�49 employees,C0900.01,366
Frequency of price review: daily,total,0,50�99 employees,C0900.01,108
Frequency of price review: daily,total,0,100+ employees,C0900.01,120
Frequency of price review: daily,"Agriculture, forestry, & fishing",1,total,C0900.01,84
Frequency of price review: daily,Agriculture,2,total,C0900.01,42
Frequency of price review: daily,Commercial fishing,2,total,C0900.01,0
Frequency of price review: daily,Forestry & logging,2,total,C0900.01,6
Frequency of price review: daily,"Agriculture, forestry, & fishing support services",2,total,C0900.01,36
Frequency of price review: daily,Mining,1,total,C0900.01,6
Frequency of price review: daily,Manufacturing,1,total,C0900.01,237
Frequency of price review: daily,"Food, beverage, & tobacco",2,total,C0900.01,30
Frequency of price review: daily,"Textile, clothing, footwear, & leather",2,total,C0900.01,9
Frequency of price review: daily,Wood & paper product,2,total,C0900.01,21
Frequency of price review: daily,"Printing, publishing, & recorded media",2,total,C0900.01,15
Frequency of price review: daily,"Petroleum, coal, chemical, & associated product",2,total,C0900.01,15
Frequency of price review: daily,Non-metallic mineral product,2,total,C0900.01,12
Frequency of price review: daily,Metal product,2,total,C0900.01,51
Frequency of price review: daily,Transport and industrial machinery & equipment,2,total,C0900.01,63
Frequency of price review: daily,Other machinery & equipment,2,total,C0900.01,6
Frequency of price review: daily,Other manufacturing,2,total,C0900.01,12
Frequency of price review: daily,"Electricity, gas, water, & waste services",1,total,C0900.01,9
Frequency of price review: daily,Construction,1,total,C0900.01,252
Frequency of price review: daily,Wholesale trade,1,total,C0900.01,189
Frequency of price review: daily,Machinery & equipment wholesaling,2,total,C0900.01,45
Frequency of price review: daily,Other wholesale trade,2,total,C0900.01,141
Frequency of price review: daily,Retail trade,1,total,C0900.01,372
Frequency of price review: daily,Accommodation & food services,1,total,C0900.01,249
Frequency of price review: daily,"Transport, postal, & warehousing",1,total,C0900.01,54
Frequency of price review: daily,Information media & telecommunications,1,total,C0900.01,3
Frequency of price review: daily,Publishing,2,total,C0900.01,0
Frequency of price review: daily,Motion picture,2,total,C0900.01,0
Frequency of price review: daily,Telecommunications,2,total,C0900.01,0
Frequency of price review: daily,Financial & insurance services,1,total,C0900.01,24
Frequency of price review: daily,Finance,2,total,C0900.01,12
Frequency of price review: daily,Insurance,2,total,C0900.01,0
Frequency of price review: daily,Auxiliary,2,total,C0900.01,15
Frequency of price review: daily,"Rental, hiring, & real estate services",1,total,C0900.01,45
Frequency of price review: daily,"Professional, scientific, & technical services",1,total,C0900.01,60
Frequency of price review: daily,Computer systems design,2,total,C0900.01,18
Frequency of price review: daily,Other professional scientific,2,total,C0900.01,42
Frequency of price review: daily,Administrative & support services,1,total,C0900.01,54
Frequency of price review: daily,Education & training,1,total,C0900.01,6
Frequency of price review: daily,Health care & social assistance,1,total,C0900.01,6
Frequency of price review: daily,Arts & recreation services,1,total,C0900.01,0
Frequency of price review: daily,Other services,1,total,C0900.01,45
Frequency of price review: daily,total,0,total,C0900.01,1698
Frequency of price review: weekly,total,0,6�19 employees,C0900.02,1500
Frequency of price review: weekly,total,0,20�49 employees,C0900.02,303
Frequency of price review: weekly,total,0,50�99 employees,C0900.02,120
Frequency of price review: weekly,total,0,100+ employees,C0900.02,99
Frequency of price review: weekly,"Agriculture, forestry, & fishing",1,total,C0900.02,180
Frequency of price review: weekly,Agriculture,2,total,C0900.02,156
Frequency of price review: weekly,Commercial fishing,2,total,C0900.02,0
Frequency of price review: weekly,Forestry & logging,2,total,C0900.02,3
Frequency of price review: weekly,"Agriculture, forestry, & fishing support services",2,total,C0900.02,21
Frequency of price review: weekly,Mining,1,total,C0900.02,3
Frequency of price review: weekly,Manufacturing,1,total,C0900.02,300
Frequency of price review: weekly,"Food, beverage, & tobacco",2,total,C0900.02,54
Frequency of price review: weekly,"Textile, clothing, footwear, & leather",2,total,C0900.02,6
Frequency of price review: weekly,Wood & paper product,2,total,C0900.02,33
Frequency of price review: weekly,"Printing, publishing, & recorded media",2,total,C0900.02,6
Frequency of price review: weekly,"Petroleum, coal, chemical, & associated product",2,total,C0900.02,12
Frequency of price review: weekly,Non-metallic mineral product,2,total,C0900.02,18
Frequency of price review: weekly,Metal product,2,total,C0900.02,78
Frequency of price review: weekly,Transport and industrial machinery & equipment,2,total,C0900.02,75
Frequency of price review: weekly,Other machinery & equipment,2,total,C0900.02,6
Frequency of price review: weekly,Other manufacturing,2,total,C0900.02,12
Frequency of price review: weekly,"Electricity, gas, water, & waste services",1,total,C0900.02,3
Frequency of price review: weekly,Construction,1,total,C0900.02,354
Frequency of price review: weekly,Wholesale trade,1,total,C0900.02,216
Frequency of price review: weekly,Machinery & equipment wholesaling,2,total,C0900.02,24
Frequency of price review: weekly,Other wholesale trade,2,total,C0900.02,192
Frequency of price review: weekly,Retail trade,1,total,C0900.02,363
Frequency of price review: weekly,Accommodation & food services,1,total,C0900.02,312
Frequency of price review: weekly,"Transport, postal, & warehousing",1,total,C0900.02,75
Frequency of price review: weekly,Information media & telecommunications,1,total,C0900.02,3
Frequency of price review: weekly,Publishing,2,total,C0900.02,3
Frequency of price review: weekly,Motion picture,2,total,C0900.02,0
Frequency of price review: weekly,Telecommunications,2,total,C0900.02,0
Frequency of price review: weekly,Financial & insurance services,1,total,C0900.02,18
Frequency of price review: weekly,Finance,2,total,C0900.02,12
Frequency of price review: weekly,Insurance,2,total,C0900.02,3
Frequency of price review: weekly,Auxiliary,2,total,C0900.02,9
Frequency of price review: weekly,"Rental, hiring, & real estate services",1,total,C0900.02,57
Frequency of price review: weekly,"Professional, scientific, & technical services",1,total,C0900.02,63
Frequency of price review: weekly,Computer systems design,2,total,C0900.02,3
Frequency of price review: weekly,Other professional scientific,2,total,C0900.02,63
Frequency of price review: weekly,Administrative & support services,1,total,C0900.02,15
Frequency of price review: weekly,Education & training,1,total,C0900.02,0
Frequency of price review: weekly,Health care & social assistance,1,total,C0900.02,12
Frequency of price review: weekly,Arts & recreation services,1,total,C0900.02,0
Frequency of price review: weekly,Other services,1,total,C0900.02,36
Frequency of price review: weekly,total,0,total,C0900.02,2025
Frequency of price review: monthly,total,0,6�19 employees,C0900.03,3786
Frequency of price review: monthly,total,0,20�49 employees,C0900.03,972
Frequency of price review: monthly,total,0,50�99 employees,C0900.03,297
Frequency of price review: monthly,total,0,100+ employees,C0900.03,213
Frequency of price review: monthly,"Agriculture, forestry, & fishing",1,total,C0900.03,168
Frequency of price review: monthly,Agriculture,2,total,C0900.03,42
Frequency of price review: monthly,Commercial fishing,2,total,C0900.03,3
Frequency of price review: monthly,Forestry & logging,2,total,C0900.03,42
Frequency of price review: monthly,"Agriculture, forestry, & fishing support services",2,total,C0900.03,81
Frequency of price review: monthly,Mining,1,total,C0900.03,9
Frequency of price review: monthly,Manufacturing,1,total,C0900.03,840
Frequency of price review: monthly,"Food, beverage, & tobacco",2,total,C0900.03,78
Frequency of price review: monthly,"Textile, clothing, footwear, & leather",2,total,C0900.03,15
Frequency of price review: monthly,Wood & paper product,2,total,C0900.03,108
Frequency of price review: monthly,"Printing, publishing, & recorded media",2,total,C0900.03,18
Frequency of price review: monthly,"Petroleum, coal, chemical, & associated product",2,total,C0900.03,99
Frequency of price review: monthly,Non-metallic mineral product,2,total,C0900.03,24
Frequency of price review: monthly,Metal product,2,total,C0900.03,201
Frequency of price review: monthly,Transport and industrial machinery & equipment,2,total,C0900.03,186
Frequency of price review: monthly,Other machinery & equipment,2,total,C0900.03,42
Frequency of price review: monthly,Other manufacturing,2,total,C0900.03,66
Frequency of price review: monthly,"Electricity, gas, water, & waste services",1,total,C0900.03,21
Frequency of price review: monthly,Construction,1,total,C0900.03,1362
Frequency of price review: monthly,Wholesale trade,1,total,C0900.03,573
Frequency of price review: monthly,Machinery & equipment wholesaling,2,total,C0900.03,147
Frequency of price review: monthly,Other wholesale trade,2,total,C0900.03,423
Frequency of price review: monthly,Retail trade,1,total,C0900.03,585
Frequency of price review: monthly,Accommodation & food services,1,total,C0900.03,744
Frequency of price review: monthly,"Transport, postal, & warehousing",1,total,C0900.03,174
Frequency of price review: monthly,Information media & telecommunications,1,total,C0900.03,33
Frequency of price review: monthly,Publishing,2,total,C0900.03,9
Frequency of price review: monthly,Motion picture,2,total,C0900.03,15
Frequency of price review: monthly,Telecommunications,2,total,C0900.03,6
Frequency of price review: monthly,Financial & insurance services,1,total,C0900.03,51
Frequency of price review: monthly,Finance,2,total,C0900.03,45
Frequency of price review: monthly,Insurance,2,total,C0900.03,3
Frequency of price review: monthly,Auxiliary,2,total,C0900.03,6
Frequency of price review: monthly,"Rental, hiring, & real estate services",1,total,C0900.03,117
Frequency of price review: monthly,"Professional, scientific, & technical services",1,total,C0900.03,303
Frequency of price review: monthly,Computer systems design,2,total,C0900.03,21
Frequency of price review: monthly,Other professional scientific,2,total,C0900.03,285
Frequency of price review: monthly,Administrative & support services,1,total,C0900.03,78
Frequency of price review: monthly,Education & training,1,total,C0900.03,36
Frequency of price review: monthly,Health care & social assistance,1,total,C0900.03,30
Frequency of price review: monthly,Arts & recreation services,1,total,C0900.03,18
Frequency of price review: monthly,Other services,1,total,C0900.03,120
Frequency of price review: monthly,total,0,total,C0900.03,5268
Frequency of price review: quarterly,total,0,6�19 employees,C0900.04,5388
Frequency of price review: quarterly,total,0,20�49 employees,C0900.04,1038
Frequency of price review: quarterly,total,0,50�99 employees,C0900.04,300
Frequency of price review: quarterly,total,0,100+ employees,C0900.04,246
Frequency of price review: quarterly,"Agriculture, forestry, & fishing",1,total,C0900.04,216
Frequency of price review: quarterly,Agriculture,2,total,C0900.04,90
Frequency of price review: quarterly,Commercial fishing,2,total,C0900.04,3
Frequency of price review: quarterly,Forestry & logging,2,total,C0900.04,33
Frequency of price review: quarterly,"Agriculture, forestry, & fishing support services",2,total,C0900.04,87
Frequency of price review: quarterly,Mining,1,total,C0900.04,15
Frequency of price review: quarterly,Manufacturing,1,total,C0900.04,1158
Frequency of price review: quarterly,"Food, beverage, & tobacco",2,total,C0900.04,225
Frequency of price review: quarterly,"Textile, clothing, footwear, & leather",2,total,C0900.04,54
Frequency of price review: quarterly,Wood & paper product,2,total,C0900.04,153
Frequency of price review: quarterly,"Printing, publishing, & recorded media",2,total,C0900.04,45
Frequency of price review: quarterly,"Petroleum, coal, chemical, & associated product",2,total,C0900.04,90
Frequency of price review: quarterly,Non-metallic mineral product,2,total,C0900.04,45
Frequency of price review: quarterly,Metal product,2,total,C0900.04,240
Frequency of price review: quarterly,Transport and industrial machinery & equipment,2,total,C0900.04,189
Frequency of price review: quarterly,Other machinery & equipment,2,total,C0900.04,36
Frequency of price review: quarterly,Other manufacturing,2,total,C0900.04,84
Frequency of price review: quarterly,"Electricity, gas, water, & waste services",1,total,C0900.04,27
Frequency of price review: quarterly,Construction,1,total,C0900.04,1422
Frequency of price review: quarterly,Wholesale trade,1,total,C0900.04,438
Frequency of price review: quarterly,Machinery & equipment wholesaling,2,total,C0900.04,141
Frequency of price review: quarterly,Other wholesale trade,2,total,C0900.04,297
Frequency of price review: quarterly,Retail trade,1,total,C0900.04,516
Frequency of price review: quarterly,Accommodation & food services,1,total,C0900.04,1380
Frequency of price review: quarterly,"Transport, postal, & warehousing",1,total,C0900.04,198
Frequency of price review: quarterly,Information media & telecommunications,1,total,C0900.04,60
Frequency of price review: quarterly,Publishing,2,total,C0900.04,18
Frequency of price review: quarterly,Motion picture,2,total,C0900.04,21
Frequency of price review: quarterly,Telecommunications,2,total,C0900.04,15
Frequency of price review: quarterly,Financial & insurance services,1,total,C0900.04,54
Frequency of price review: quarterly,Finance,2,total,C0900.04,15
Frequency of price review: quarterly,Insurance,2,total,C0900.04,9
Frequency of price review: quarterly,Auxiliary,2,total,C0900.04,30
Frequency of price review: quarterly,"Rental, hiring, & real estate services",1,total,C0900.04,60
Frequency of price review: quarterly,"Professional, scientific, & technical services",1,total,C0900.04,780
Frequency of price review: quarterly,Computer systems design,2,total,C0900.04,90
Frequency of price review: quarterly,Other professional scientific,2,total,C0900.04,690
Frequency of price review: quarterly,Administrative & support services,1,total,C0900.04,210
Frequency of price review: quarterly,Education & training,1,total,C0900.04,93
Frequency of price review: quarterly,Health care & social assistance,1,total,C0900.04,120
Frequency of price review: quarterly,Arts & recreation services,1,total,C0900.04,69
Frequency of price review: quarterly,Other services,1,total,C0900.04,156
Frequency of price review: quarterly,total,0,total,C0900.04,6972
Frequency of price review: half-yearly,total,0,6�19 employees,C0900.05,3552
Frequency of price review: half-yearly,total,0,20�49 employees,C0900.05,840
Frequency of price review: half-yearly,total,0,50�99 employees,C0900.05,228
Frequency of price review: half-yearly,total,0,100+ employees,C0900.05,129
Frequency of price review: half-yearly,"Agriculture, forestry, & fishing",1,total,C0900.05,117
Frequency of price review: half-yearly,Agriculture,2,total,C0900.05,36
Frequency of price review: half-yearly,Commercial fishing,2,total,C0900.05,3
Frequency of price review: half-yearly,Forestry & logging,2,total,C0900.05,12
Frequency of price review: half-yearly,"Agriculture, forestry, & fishing support services",2,total,C0900.05,66
Frequency of price review: half-yearly,Mining,1,total,C0900.05,18
Frequency of price review: half-yearly,Manufacturing,1,total,C0900.05,687
Frequency of price review: half-yearly,"Food, beverage, & tobacco",2,total,C0900.05,192
Frequency of price review: half-yearly,"Textile, clothing, footwear, & leather",2,total,C0900.05,60
Frequency of price review: half-yearly,Wood & paper product,2,total,C0900.05,69
Frequency of price review: half-yearly,"Printing, publishing, & recorded media",2,total,C0900.05,18
Frequency of price review: half-yearly,"Petroleum, coal, chemical, & associated product",2,total,C0900.05,63
Frequency of price review: half-yearly,Non-metallic mineral product,2,total,C0900.05,39
Frequency of price review: half-yearly,Metal product,2,total,C0900.05,87
Frequency of price review: half-yearly,Transport and industrial machinery & equipment,2,total,C0900.05,63
Frequency of price review: half-yearly,Other machinery & equipment,2,total,C0900.05,33
Frequency of price review: half-yearly,Other manufacturing,2,total,C0900.05,63
Frequency of price review: half-yearly,"Electricity, gas, water, & waste services",1,total,C0900.05,21
Frequency of price review: half-yearly,Construction,1,total,C0900.05,975
Frequency of price review: half-yearly,Wholesale trade,1,total,C0900.05,324
Frequency of price review: half-yearly,Machinery & equipment wholesaling,2,total,C0900.05,72
Frequency of price review: half-yearly,Other wholesale trade,2,total,C0900.05,252
Frequency of price review: half-yearly,Retail trade,1,total,C0900.05,384
Frequency of price review: half-yearly,Accommodation & food services,1,total,C0900.05,894
Frequency of price review: half-yearly,"Transport, postal, & warehousing",1,total,C0900.05,162
Frequency of price review: half-yearly,Information media & telecommunications,1,total,C0900.05,33
Frequency of price review: half-yearly,Publishing,2,total,C0900.05,15
Frequency of price review: half-yearly,Motion picture,2,total,C0900.05,9
Frequency of price review: half-yearly,Telecommunications,2,total,C0900.05,6
Frequency of price review: half-yearly,Financial & insurance services,1,total,C0900.05,15
Frequency of price review: half-yearly,Finance,2,total,C0900.05,9
Frequency of price review: half-yearly,Insurance,2,total,C0900.05,3
Frequency of price review: half-yearly,Auxiliary,2,total,C0900.05,6
Frequency of price review: half-yearly,"Rental, hiring, & real estate services",1,total,C0900.05,84
Frequency of price review: half-yearly,"Professional, scientific, & technical services",1,total,C0900.05,435
Frequency of price review: half-yearly,Computer systems design,2,total,C0900.05,111
Frequency of price review: half-yearly,Other professional scientific,2,total,C0900.05,324
Frequency of price review: half-yearly,Administrative & support services,1,total,C0900.05,135
Frequency of price review: half-yearly,Education & training,1,total,C0900.05,39
Frequency of price review: half-yearly,Health care & social assistance,1,total,C0900.05,177
Frequency of price review: half-yearly,Arts & recreation services,1,total,C0900.05,96
Frequency of price review: half-yearly,Other services,1,total,C0900.05,144
Frequency of price review: half-yearly,total,0,total,C0900.05,4752
Frequency of price review: annually,total,0,6�19 employees,C0900.06,8631
Frequency of price review: annually,total,0,20�49 employees,C0900.06,2034
Frequency of price review: annually,total,0,50�99 employees,C0900.06,555
Frequency of price review: annually,total,0,100+ employees,C0900.06,471
Frequency of price review: annually,"Agriculture, forestry, & fishing",1,total,C0900.06,735
Frequency of price review: annually,Agriculture,2,total,C0900.06,312
Frequency of price review: annually,Commercial fishing,2,total,C0900.06,12
Frequency of price review: annually,Forestry & logging,2,total,C0900.06,18
Frequency of price review: annually,"Agriculture, forestry, & fishing support services",2,total,C0900.06,396
Frequency of price review: annually,Mining,1,total,C0900.06,30
Frequency of price review: annually,Manufacturing,1,total,C0900.06,1107
Frequency of price review: annually,"Food, beverage, & tobacco",2,total,C0900.06,363
Frequency of price review: annually,"Textile, clothing, footwear, & leather",2,total,C0900.06,78
Frequency of price review: annually,Wood & paper product,2,total,C0900.06,87
Frequency of price review: annually,"Printing, publishing, & recorded media",2,total,C0900.06,48
Frequency of price review: annually,"Petroleum, coal, chemical, & associated product",2,total,C0900.06,69
Frequency of price review: annually,Non-metallic mineral product,2,total,C0900.06,39
Frequency of price review: annually,Metal product,2,total,C0900.06,93
Frequency of price review: annually,Transport and industrial machinery & equipment,2,total,C0900.06,237
Frequency of price review: annually,Other machinery & equipment,2,total,C0900.06,42
Frequency of price review: annually,Other manufacturing,2,total,C0900.06,51
Frequency of price review: annually,"Electricity, gas, water, & waste services",1,total,C0900.06,66
Frequency of price review: annually,Construction,1,total,C0900.06,1173
Frequency of price review: annually,Wholesale trade,1,total,C0900.06,540
Frequency of price review: annually,Machinery & equipment wholesaling,2,total,C0900.06,213
Frequency of price review: annually,Other wholesale trade,2,total,C0900.06,324
Frequency of price review: annually,Retail trade,1,total,C0900.06,318
Frequency of price review: annually,Accommodation & food services,1,total,C0900.06,1707
Frequency of price review: annually,"Transport, postal, & warehousing",1,total,C0900.06,345
Frequency of price review: annually,Information media & telecommunications,1,total,C0900.06,126
Frequency of price review: annually,Publishing,2,total,C0900.06,36
Frequency of price review: annually,Motion picture,2,total,C0900.06,42
Frequency of price review: annually,Telecommunications,2,total,C0900.06,45
Frequency of price review: annually,Financial & insurance services,1,total,C0900.06,129
Frequency of price review: annually,Finance,2,total,C0900.06,36
Frequency of price review: annually,Insurance,2,total,C0900.06,12
Frequency of price review: annually,Auxiliary,2,total,C0900.06,81
Frequency of price review: annually,"Rental, hiring, & real estate services",1,total,C0900.06,312
Frequency of price review: annually,"Professional, scientific, & technical services",1,total,C0900.06,2217
Frequency of price review: annually,Computer systems design,2,total,C0900.06,336
Frequency of price review: annually,Other professional scientific,2,total,C0900.06,1884
Frequency of price review: annually,Administrative & support services,1,total,C0900.06,627
Frequency of price review: annually,Education & training,1,total,C0900.06,543
Frequency of price review: annually,Health care & social assistance,1,total,C0900.06,1122
Frequency of price review: annually,Arts & recreation services,1,total,C0900.06,162
Frequency of price review: annually,Other services,1,total,C0900.06,426
Frequency of price review: annually,total,0,total,C0900.06,11694
Frequency of price review: less than once a year,total,0,6�19 employees,C0900.07,1257
Frequency of price review: less than once a year,total,0,20�49 employees,C0900.07,324
Frequency of price review: less than once a year,total,0,50�99 employees,C0900.07,63
Frequency of price review: less than once a year,total,0,100+ employees,C0900.07,48
Frequency of price review: less than once a year,"Agriculture, forestry, & fishing",1,total,C0900.07,72
Frequency of price review: less than once a year,Agriculture,2,total,C0900.07,0
Frequency of price review: less than once a year,Commercial fishing,2,total,C0900.07,3
Frequency of price review: less than once a year,Forestry & logging,2,total,C0900.07,12
Frequency of price review: less than once a year,"Agriculture, forestry, & fishing support services",2,total,C0900.07,57
Frequency of price review: less than once a year,Mining,1,total,C0900.07,6
Frequency of price review: less than once a year,Manufacturing,1,total,C0900.07,138
Frequency of price review: less than once a year,"Food, beverage, & tobacco",2,total,C0900.07,18
Frequency of price review: less than once a year,"Textile, clothing, footwear, & leather",2,total,C0900.07,12
Frequency of price review: less than once a year,Wood & paper product,2,total,C0900.07,6
Frequency of price review: less than once a year,"Printing, publishing, & recorded media",2,total,C0900.07,6
Frequency of price review: less than once a year,"Petroleum, coal, chemical, & associated product",2,total,C0900.07,15
Frequency of price review: less than once a year,Non-metallic mineral product,2,total,C0900.07,3
Frequency of price review: less than once a year,Metal product,2,total,C0900.07,33
Frequency of price review: less than once a year,Transport and industrial machinery & equipment,2,total,C0900.07,27
Frequency of price review: less than once a year,Other machinery & equipment,2,total,C0900.07,3
Frequency of price review: less than once a year,Other manufacturing,2,total,C0900.07,15
Frequency of price review: less than once a year,"Electricity, gas, water, & waste services",1,total,C0900.07,12
Frequency of price review: less than once a year,Construction,1,total,C0900.07,255
Frequency of price review: less than once a year,Wholesale trade,1,total,C0900.07,45
Frequency of price review: less than once a year,Machinery & equipment wholesaling,2,total,C0900.07,15
Frequency of price review: less than once a year,Other wholesale trade,2,total,C0900.07,27
Frequency of price review: less than once a year,Retail trade,1,total,C0900.07,57
Frequency of price review: less than once a year,Accommodation & food services,1,total,C0900.07,144
Frequency of price review: less than once a year,"Transport, postal, & warehousing",1,total,C0900.07,132
Frequency of price review: less than once a year,Information media & telecommunications,1,total,C0900.07,33
Frequency of price review: less than once a year,Publishing,2,total,C0900.07,21
Frequency of price review: less than once a year,Motion picture,2,total,C0900.07,6
Frequency of price review: less than once a year,Telecommunications,2,total,C0900.07,3
Frequency of price review: less than once a year,Financial & insurance services,1,total,C0900.07,39
Frequency of price review: less than once a year,Finance,2,total,C0900.07,6
Frequency of price review: less than once a year,Insurance,2,total,C0900.07,3
Frequency of price review: less than once a year,Auxiliary,2,total,C0900.07,33
Frequency of price review: less than once a year,"Rental, hiring, & real estate services",1,total,C0900.07,72
Frequency of price review: less than once a year,"Professional, scientific, & technical services",1,total,C0900.07,246
Frequency of price review: less than once a year,Computer systems design,2,total,C0900.07,84
Frequency of price review: less than once a year,Other professional scientific,2,total,C0900.07,165
Frequency of price review: less than once a year,Administrative & support services,1,total,C0900.07,81
Frequency of price review: less than once a year,Education & training,1,total,C0900.07,87
Frequency of price review: less than once a year,Health care & social assistance,1,total,C0900.07,159
Frequency of price review: less than once a year,Arts & recreation services,1,total,C0900.07,69
Frequency of price review: less than once a year,Other services,1,total,C0900.07,39
Frequency of price review: less than once a year,total,0,total,C0900.07,1689
